"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
4096	s	2101248	0.126	0.020	0.110
8192	s	2105344	0.067	0.000	0.070
8192	s	2105344	0.067	0.000	0.060
8192	s	2105344	0.069	0.010	0.060
8192	s	2105344	0.070	0.000	0.070
8192	s	2105344	0.071	0.000	0.080
16384	s	2113536	0.039	0.000	0.030
16384	s	2113536	0.038	0.000	0.040
16384	s	2113536	0.039	0.000	0.040
16384	s	2113536	0.037	0.000	0.040
16384	s	2113536	0.039	0.000	0.040
32768	s	2129920	0.023	0.000	0.020
32768	s	2129920	0.023	0.000	0.020
32768	s	2129920	0.022	0.000	0.030
32768	s	2129920	0.022	0.000	0.020
32768	s	2129920	0.022	0.000	0.020
65536	s	2162688	0.014	0.000	0.010
65536	s	2162688	0.015	0.000	0.020
65536	s	2162688	0.015	0.000	0.010
65536	s	2162688	0.014	0.000	0.020
65536	s	2162688	0.014	0.000	0.010
512	-	4194816	0.015	0.000	0.010
512	-	4194816	0.014	0.000	0.020
512	-	4194816	0.043	0.010	0.030
512	-	4194816	0.042	0.010	0.040
512	-	4194816	0.015	0.000	0.010
1024	-	4195328	0.028	0.000	0.020
1024	-	4195328	0.009	0.010	0.010
1024	-	4195328	0.021	0.010	0.000
1024	-	4195328	0.022	0.010	0.020
1024	-	4195328	0.008	0.000	0.010
2048	-	4196352	0.016	0.000	0.010
2048	-	4196352	0.008	0.000	0.010
2048	-	4196352	0.008	0.000	0.010
2048	-	4196352	0.016	0.000	0.010
2048	-	4196352	0.007	0.010	0.000
4096	-	4198400	0.011	0.000	0.010
4096	-	4198400	0.007	0.000	0.000
4096	-	4198400	0.012	0.000	0.010
4096	-	4198400	0.012	0.010	0.000
4096	-	4198400	0.007	0.000	0.010
8192	-	4202496	0.007	0.000	0.010
8192	-	4202496	0.007	0.000	0.000
8192	-	4202496	0.007	0.000	0.010
8192	-	4202496	0.010	0.010	0.010
8192	-	4202496	0.007	0.000	0.000
16384	-	4210688	0.007	0.000	0.010
16384	-	4210688	0.007	0.000	0.010
16384	-	4210688	0.006	0.000	0.000
16384	-	4210688	0.007	0.000	0.010
16384	-	4210688	0.007	0.000	0.010
32768	-	4227072	0.009	0.000	0.010
32768	-	4227072	0.006	0.000	0.000
32768	-	4227072	0.007	0.000	0.010
32768	-	4227072	0.007	0.000	0.010
32768	-	4227072	0.009	0.000	0.000
65536	-	4259840	0.010	0.000	0.010
